time,intensity,temperature
0.030878623174000003,2.1882681233740227e10,0.2700723234091427
0.031178415632000002,2.1882681233740273e10,0.2700723234091413
0.03147820809,2.1882681233740303e10,0.2700723234091403
0.031778000548,2.1882681233740326e10,0.27007232340913956
0.032077793006,2.188268123374034e10,0.27007232340913906
0.032377585464,2.1882681233740353e10,0.27007232340913867
0.032677377922,2.1882681233740364e10,0.27007232340913845
0.03297717038,2.1882681233740368e10,0.2700723234091383
0.033276962837999996,2.188268123374037e10,0.27007232340913817
0.033576755296,2.188268123374037e10,0.27007232340913806
0.033876547754,2.188268123374037e10,0.270072323409138
0.034176340212,2.188268123374037e10,0.27007232340913795
0.03447613267,2.188268123374037e10,0.2700723234091379
0.034775925128,2.188268123374037e10,0.2700723234091379
0.035075717586000005,2.188268123374037e10,0.2700723234091379
